Instancia,k,Algoritmo,Tipo,Costo_total,Tiempo_ms,Factible,Seleccion
ninstance_329.txt,5,bt,MICRO,-1,0,no,""
ninstance_329.txt,5,fb,MACRO,0,79.7224,si,""
ninstance_329.txt,5,bt,MACRO,0,0.0208,si,""
ninstance_329.txt,10,fb,MICRO,-1,0,no,""
ninstance_329.txt,10,bt,MICRO,-1,0,no,""
ninstance_329.txt,10,fb,MACRO,0,1.7283,si,""
ninstance_329.txt,10,bt,MACRO,0,0.0124,si,""
ninstance_329.txt,15,fb,MICRO,-1,0,no,""
ninstance_329.txt,15,bt,MICRO,-1,0,no,""
ninstance_329.txt,15,fb,MACRO,0,0.2192,si,""
ninstance_329.txt,15,bt,MACRO,0,0.0123,si,""
ninstance_329.txt,20,fb,MICRO,0,6.4896,si,""
ninstance_329.txt,20,bt,MICRO,0,0.0175,si,""
ninstance_329.txt,20,fb,MACRO,0,0.0213,si,""
ninstance_329.txt,20,bt,MACRO,0,0.008,si,""
ninstance_329.txt,25,fb,MICRO,0,6.2178,si,""
ninstance_329.txt,25,bt,MICRO,0,0.0284,si,""
ninstance_329.txt,25,fb,MACRO,0,0.0276,si,""
ninstance_329.txt,25,bt,MACRO,0,0.0225,si,""
ninstance_329.txt,30,fb,MICRO,0,13.3695,si,""
ninstance_329.txt,30,bt,MICRO,0,0.0362,si,""
ninstance_329.txt,30,fb,MACRO,0,0.0448,si,""
ninstance_329.txt,30,bt,MACRO,0,0.0241,si,""
ninstance_329.txt,35,fb,MICRO,0,14.557,si,""
ninstance_329.txt,35,bt,MICRO,0,0.0174,si,""
ninstance_329.txt,35,fb,MACRO,0,0.0242,si,""
ninstance_329.txt,35,bt,MACRO,0,0.0122,si,""
ninstance_329.txt,40,fb,MICRO,0,13.3867,si,""
ninstance_329.txt,40,bt,MICRO,0,0.0347,si,""
ninstance_329.txt,40,fb,MACRO,0,0.0424,si,""
ninstance_329.txt,40,bt,MACRO,0,0.0207,si,""
ninstance_329.txt,45,fb,MICRO,0,12.2088,si,""
ninstance_329.txt,45,bt,MICRO,0,0.018,si,""
ninstance_329.txt,45,fb,MACRO,0,0.0453,si,""
ninstance_329.txt,45,bt,MACRO,0,0.0169,si,""
ninstance_329.txt,50,fb,MICRO,0,6.1176,si,""
ninstance_329.txt,50,bt,MICRO,0,0.0325,si,""
ninstance_329.txt,50,fb,MACRO,0,0.025,si,""
ninstance_329.txt,50,bt,MACRO,0,0.0212,si,""
ninstance_329.txt,55,fb,MICRO,0,23.2415,si,""
ninstance_329.txt,55,bt,MICRO,0,0.04,si,""
ninstance_329.txt,55,fb,MACRO,-1,0,no,""
ninstance_329.txt,55,bt,MACRO,-1,0,no,""
ninstance_329.txt,60,fb,MICRO,0,12.6394,si,""
ninstance_329.txt,60,bt,MICRO,0,0.0406,si,""
ninstance_329.txt,60,fb,MACRO,-1,0,no,""
ninstance_329.txt,60,bt,MACRO,-1,0,no,""
ninstance_329.txt,65,fb,MICRO,0,34.9829,si,""
ninstance_329.txt,65,bt,MICRO,0,0.0483,si,""
ninstance_329.txt,65,fb,MACRO,-1,0,no,""
ninstance_329.txt,65,bt,MACRO,-1,0,no,""
ninstance_329.txt,70,fb,MICRO,0,44.1445,si,""
ninstance_329.txt,70,bt,MICRO,0,0.0473,si,""
ninstance_329.txt,70,fb,MACRO,-1,0,no,""
ninstance_329.txt,70,bt,MACRO,-1,0,no,""
ninstance_345.txt,5,fb,MICRO,-1,0,no,""
ninstance_345.txt,5,bt,MICRO,-1,0,no,""
ninstance_345.txt,5,fb,MACRO,-1,0,no,""
ninstance_345.txt,5,bt,MACRO,-1,0,no,""
ninstance_345.txt,10,fb,MICRO,-1,0,no,""
ninstance_345.txt,10,bt,MICRO,-1,0,no,""
ninstance_345.txt,10,fb,MACRO,-1,0,no,""
ninstance_345.txt,10,bt,MACRO,-1,0,no,""
ninstance_345.txt,15,fb,MICRO,-1,0,no,""
ninstance_345.txt,15,bt,MICRO,-1,0,no,""
ninstance_345.txt,15,fb,MACRO,-1,0,no,""
ninstance_345.txt,15,bt,MACRO,-1,0,no,""
ninstance_347.txt,5,fb,MICRO,0,97.4906,si,""
ninstance_347.txt,5,bt,MICRO,0,0.0246,si,""
ninstance_347.txt,5,fb,MACRO,0,0.0243,si,""
ninstance_347.txt,5,bt,MACRO,0,0.0079,si,""
ninstance_347.txt,10,fb,MICRO,0,833.931,si,""
ninstance_347.txt,10,bt,MICRO,0,0.0327,si,""
ninstance_347.txt,10,fb,MACRO,-1,0,no,""
ninstance_347.txt,10,bt,MACRO,-1,0,no,""
ninstance_355.txt,5,fb,MICRO,-1,0,no,""
ninstance_355.txt,5,bt,MICRO,-1,0,no,""
ninstance_355.txt,5,fb,MACRO,0,0.6689,si,""
ninstance_355.txt,5,bt,MACRO,0,0.0142,si,""
ninstance_355.txt,10,fb,MICRO,0,7.808,si,""
ninstance_355.txt,10,bt,MICRO,0,0.0256,si,""
ninstance_355.txt,10,fb,MACRO,0,0.0184,si,""
ninstance_355.txt,10,bt,MACRO,0,0.0114,si,""
ninstance_355.txt,15,fb,MICRO,0,6.6636,si,""
ninstance_355.txt,15,bt,MICRO,0,0.0158,si,""
ninstance_355.txt,15,fb,MACRO,0,0.0172,si,""
ninstance_355.txt,15,bt,MACRO,0,0.0085,si,""
ninstance_355.txt,20,fb,MICRO,0,16.4324,si,""
ninstance_355.txt,20,bt,MICRO,0,0.041,si,""
ninstance_355.txt,20,fb,MACRO,-1,0,no,""
ninstance_355.txt,20,bt,MACRO,-1,0,no,""
ninstance_374.txt,5,fb,MICRO,-1,0,no,""
ninstance_374.txt,5,bt,MICRO,-1,0,no,""
ninstance_374.txt,5,fb,MACRO,0,0.3298,si,""
ninstance_374.txt,5,bt,MACRO,0,0.0163,si,""
ninstance_374.txt,10,fb,MICRO,0,1695.74,si,""
ninstance_374.txt,10,bt,MICRO,0,0.0353,si,""
ninstance_374.txt,10,fb,MACRO,0,0.0506,si,""
ninstance_374.txt,10,bt,MACRO,0,0.0137,si,""
ninstance_374.txt,15,fb,MICRO,0,3320,si,""
ninstance_374.txt,15,bt,MICRO,0,0.0291,si,""
ninstance_374.txt,15,fb,MACRO,-1,0,no,""
ninstance_374.txt,15,bt,MACRO,-1,0,no,""
ninstance_374.txt,20,fb,MICRO,0,26922.5,si,""
ninstance_374.txt,20,bt,MICRO,0,0.0298,si,""
ninstance_374.txt,20,fb,MACRO,-1,0,no,""
ninstance_374.txt,20,bt,MACRO,-1,0,no,""
ninstance_375.txt,5,fb,MICRO,-1,0,no,""
ninstance_375.txt,5,bt,MICRO,-1,0,no,""
ninstance_375.txt,5,fb,MACRO,0,1.5886,si,""
ninstance_375.txt,5,bt,MACRO,0,0.0096,si,""
ninstance_375.txt,10,fb,MICRO,-1,0,no,""
ninstance_375.txt,10,bt,MICRO,-1,0,no,""
ninstance_375.txt,10,fb,MACRO,0,0.4214,si,""
ninstance_375.txt,10,bt,MACRO,0,0.0053,si,""
ninstance_375.txt,15,fb,MICRO,-1,0,no,""
ninstance_375.txt,15,bt,MICRO,-1,0,no,""
ninstance_375.txt,15,fb,MACRO,0,0.0194,si,""
ninstance_375.txt,15,bt,MACRO,0,0.006,si,""
ninstance_375.txt,20,fb,MICRO,0,0.4752,si,""
ninstance_375.txt,20,bt,MICRO,0,0.0135,si,""
ninstance_375.txt,20,fb,MACRO,0,0.011,si,""
ninstance_375.txt,20,bt,MACRO,0,0.0068,si,""
ninstance_375.txt,25,fb,MICRO,0,0.573,si,""
ninstance_375.txt,25,bt,MICRO,0,0.0246,si,""
ninstance_375.txt,25,fb,MACRO,0,0.0158,si,""
ninstance_375.txt,25,bt,MACRO,0,0.0094,si,""
ninstance_375.txt,30,fb,MICRO,0,0.7607,si,""
ninstance_375.txt,30,bt,MICRO,0,0.0207,si,""
ninstance_375.txt,30,fb,MACRO,0,0.0158,si,""
ninstance_375.txt,30,bt,MACRO,0,0.0098,si,""
ninstance_375.txt,35,fb,MICRO,0,0.7759,si,""
ninstance_375.txt,35,bt,MICRO,0,0.0213,si,""
ninstance_375.txt,35,fb,MACRO,0,0.0164,si,""
ninstance_375.txt,35,bt,MACRO,0,0.0099,si,""
ninstance_375.txt,40,fb,MICRO,0,0.7522,si,""
ninstance_375.txt,40,bt,MICRO,0,0.0218,si,""
ninstance_375.txt,40,fb,MACRO,0,0.0156,si,""
ninstance_375.txt,40,bt,MACRO,0,0.0103,si,""
ninstance_375.txt,45,fb,MICRO,0,0.7572,si,""
ninstance_375.txt,45,bt,MICRO,0,0.0208,si,""
ninstance_375.txt,45,fb,MACRO,0,0.0149,si,""
ninstance_375.txt,45,bt,MACRO,0,0.0097,si,""
ninstance_375.txt,50,fb,MICRO,0,1.3584,si,""
ninstance_375.txt,50,bt,MICRO,0,0.0289,si,""
ninstance_375.txt,50,fb,MACRO,0,0.0103,si,""
ninstance_375.txt,50,bt,MACRO,0,0.0065,si,""
ninstance_375.txt,55,fb,MICRO,0,0.9916,si,""
ninstance_375.txt,55,bt,MICRO,0,0.0288,si,""
ninstance_375.txt,55,fb,MACRO,-1,0,no,""
ninstance_375.txt,55,bt,MACRO,-1,0,no,""
ninstance_381.txt,5,fb,MICRO,-1,0,no,""
ninstance_381.txt,5,bt,MICRO,-1,0,no,""
ninstance_381.txt,5,fb,MACRO,0,0.2591,si,""
ninstance_381.txt,5,bt,MACRO,0,0.0637,si,""
ninstance_381.txt,10,fb,MICRO,0,2.3635,si,""
ninstance_381.txt,10,bt,MICRO,0,0.0264,si,""
ninstance_381.txt,10,fb,MACRO,-1,0,no,""
ninstance_381.txt,10,bt,MACRO,-1,0,no,""
ninstance_381.txt,15,fb,MICRO,0,2.0466,si,""
ninstance_381.txt,15,bt,MICRO,0,0.0193,si,""
ninstance_381.txt,15,fb,MACRO,-1,0,no,""
ninstance_381.txt,15,bt,MACRO,-1,0,no,""
ninstance_381.txt,20,fb,MICRO,0,1.0117,si,""
ninstance_381.txt,20,bt,MICRO,0,0.0089,si,""
ninstance_381.txt,20,fb,MACRO,-1,0,no,""
ninstance_381.txt,20,bt,MACRO,-1,0,no,""
ninstance_407.txt,5,fb,MICRO,-1,0,no,""
ninstance_407.txt,5,bt,MICRO,-1,0,no,""
ninstance_407.txt,5,fb,MACRO,-1,0,no,""
ninstance_407.txt,5,bt,MACRO,-1,0,no,""
ninstance_407.txt,10,fb,MICRO,0,3.1773,si,""
ninstance_407.txt,10,bt,MICRO,0,0.013,si,""
ninstance_407.txt,10,fb,MACRO,-1,0,no,""
ninstance_407.txt,10,bt,MACRO,-1,0,no,""
ninstance_418.txt,5,fb,MICRO,0,121.059,si,""
